source_key,target_note,offset_cents,frequency_hz,display_mapping,tuning_name
A0,A0,00,27.50,A0=A0 00 cents,edo_31_diatonic7_88key
A0+,A0+,94,30.75,A0+=A0+ 94 cents,edo_31_diatonic7_88key
B0,A0+,94,30.75,B0=A0+ 94 cents,edo_31_diatonic7_88key
C1,C1,87,34.39,C1=C1 87 cents,edo_31_diatonic7_88key
C1+,C1,87,34.39,C1+=C1 87 cents,edo_31_diatonic7_88key
D1,D1,03,36.78,D1=D1 03 cents,edo_31_diatonic7_88key
D1+,D1,03,36.78,D1+=D1 03 cents,edo_31_diatonic7_88key
E1,D1+,97,41.13,E1=D1+ 97 cents,edo_31_diatonic7_88key
F1,F1,90,45.99,F1=F1 90 cents,edo_31_diatonic7_88key
F1+,F1,90,45.99,F1+=F1 90 cents,edo_31_diatonic7_88key
G1,G1,84,51.43,G1=G1 84 cents,edo_31_diatonic7_88key
G1+,G1,84,51.43,G1+=G1 84 cents,edo_31_diatonic7_88key
A1,A1,00,55.00,A1=A1 00 cents,edo_31_diatonic7_88key
A1+,A1+,94,61.51,A1+=A1+ 94 cents,edo_31_diatonic7_88key
B1,A1+,94,61.51,B1=A1+ 94 cents,edo_31_diatonic7_88key
C2,C2,87,68.78,C2=C2 87 cents,edo_31_diatonic7_88key
C2+,C2,87,68.78,C2+=C2 87 cents,edo_31_diatonic7_88key
D2,D2,03,73.55,D2=D2 03 cents,edo_31_diatonic7_88key
D2+,D2,03,73.55,D2+=D2 03 cents,edo_31_diatonic7_88key
E2,D2+,97,82.25,E2=D2+ 97 cents,edo_31_diatonic7_88key
F2,F2,90,91.98,F2=F2 90 cents,edo_31_diatonic7_88key
F2+,F2,90,91.98,F2+=F2 90 cents,edo_31_diatonic7_88key
G2,G2,84,102.86,G2=G2 84 cents,edo_31_diatonic7_88key
G2+,G2,84,102.86,G2+=G2 84 cents,edo_31_diatonic7_88key
A2,A2,00,110.00,A2=A2 00 cents,edo_31_diatonic7_88key
A2+,A2+,94,123.01,A2+=A2+ 94 cents,edo_31_diatonic7_88key
B2,A2+,94,123.01,B2=A2+ 94 cents,edo_31_diatonic7_88key
C3,C3,87,137.56,C3=C3 87 cents,edo_31_diatonic7_88key
C3+,C3,87,137.56,C3+=C3 87 cents,edo_31_diatonic7_88key
D3,D3,03,147.11,D3=D3 03 cents,edo_31_diatonic7_88key
D3+,D3,03,147.11,D3+=D3 03 cents,edo_31_diatonic7_88key
E3,D3+,97,164.51,E3=D3+ 97 cents,edo_31_diatonic7_88key
F3,F3,90,183.97,F3=F3 90 cents,edo_31_diatonic7_88key
F3+,F3,90,183.97,F3+=F3 90 cents,edo_31_diatonic7_88key
G3,G3,84,205.73,G3=G3 84 cents,edo_31_diatonic7_88key
G3+,G3,84,205.73,G3+=G3 84 cents,edo_31_diatonic7_88key
A3,A3,00,220.00,A3=A3 00 cents,edo_31_diatonic7_88key
A3+,A3+,94,246.02,A3+=A3+ 94 cents,edo_31_diatonic7_88key
B3,A3+,94,246.02,B3=A3+ 94 cents,edo_31_diatonic7_88key
C4,C4,87,275.12,C4=C4 87 cents,edo_31_diatonic7_88key
C4+,C4,87,275.12,C4+=C4 87 cents,edo_31_diatonic7_88key
D4,D4,03,294.21,D4=D4 03 cents,edo_31_diatonic7_88key
D4+,D4,03,294.21,D4+=D4 03 cents,edo_31_diatonic7_88key
E4,D4+,97,329.01,E4=D4+ 97 cents,edo_31_diatonic7_88key
F4,F4,90,367.93,F4=F4 90 cents,edo_31_diatonic7_88key
F4+,F4,90,367.93,F4+=F4 90 cents,edo_31_diatonic7_88key
G4,G4,84,411.45,G4=G4 84 cents,edo_31_diatonic7_88key
G4+,G4,84,411.45,G4+=G4 84 cents,edo_31_diatonic7_88key
A4,A4,00,440.00,A4=A4 00 cents,edo_31_diatonic7_88key
A4+,A4+,94,492.05,A4+=A4+ 94 cents,edo_31_diatonic7_88key
B4,A4+,94,492.05,B4=A4+ 94 cents,edo_31_diatonic7_88key
C5,C5,87,550.25,C5=C5 87 cents,edo_31_diatonic7_88key
C5+,C5,87,550.25,C5+=C5 87 cents,edo_31_diatonic7_88key
D5,D5,03,588.42,D5=D5 03 cents,edo_31_diatonic7_88key
D5+,D5,03,588.42,D5+=D5 03 cents,edo_31_diatonic7_88key
E5,D5+,97,658.03,E5=D5+ 97 cents,edo_31_diatonic7_88key
F5,F5,90,735.86,F5=F5 90 cents,edo_31_diatonic7_88key
F5+,F5,90,735.86,F5+=F5 90 cents,edo_31_diatonic7_88key
G5,G5,84,822.91,G5=G5 84 cents,edo_31_diatonic7_88key
G5+,G5,84,822.91,G5+=G5 84 cents,edo_31_diatonic7_88key
A5,A5,00,880.00,A5=A5 00 cents,edo_31_diatonic7_88key
A5+,A5+,94,984.09,A5+=A5+ 94 cents,edo_31_diatonic7_88key
B5,A5+,94,984.09,B5=A5+ 94 cents,edo_31_diatonic7_88key
C6,C6,87,1100.50,C6=C6 87 cents,edo_31_diatonic7_88key
C6+,C6,87,1100.50,C6+=C6 87 cents,edo_31_diatonic7_88key
D6,D6,03,1176.85,D6=D6 03 cents,edo_31_diatonic7_88key
D6+,D6,03,1176.85,D6+=D6 03 cents,edo_31_diatonic7_88key
E6,D6+,97,1316.06,E6=D6+ 97 cents,edo_31_diatonic7_88key
F6,F6,90,1471.73,F6=F6 90 cents,edo_31_diatonic7_88key
F6+,F6,90,1471.73,F6+=F6 90 cents,edo_31_diatonic7_88key
G6,G6,84,1645.81,G6=G6 84 cents,edo_31_diatonic7_88key
G6+,G6,84,1645.81,G6+=G6 84 cents,edo_31_diatonic7_88key
A6,A6,00,1760.00,A6=A6 00 cents,edo_31_diatonic7_88key
