source_key,target_note,offset_cents,frequency_hz,display_mapping,tuning_name
C2,G3+,23,210.38,C2=G3+ 23 cents,edo_31_linear
C2+,G3+,61,215.14,C2+=G3+ 61 cents,edo_31_linear
D2,A3,00,220.00,D2=A3 00 cents,edo_31_linear
D2+,A3,39,224.97,D2+=A3 39 cents,edo_31_linear
E2,A3,77,230.06,E2=A3 77 cents,edo_31_linear
F2,A3+,16,235.26,F2=A3+ 16 cents,edo_31_linear
F2+,A3+,55,240.58,F2+=A3+ 55 cents,edo_31_linear
G2,A3+,94,246.02,G2=A3+ 94 cents,edo_31_linear
G2+,B3,32,251.59,G2+=B3 32 cents,edo_31_linear
A2,B3,71,257.27,A2=B3 71 cents,edo_31_linear
A2+,C4,10,263.09,A2+=C4 10 cents,edo_31_linear
B2,C4,48,269.04,B2=C4 48 cents,edo_31_linear
C3,C4,87,275.12,C3=C4 87 cents,edo_31_linear
C3+,C4+,26,281.35,C3+=C4+ 26 cents,edo_31_linear
D3,C4+,65,287.71,D3=C4+ 65 cents,edo_31_linear
D3+,D4,03,294.21,D3+=D4 03 cents,edo_31_linear
E3,D4,42,300.87,E3=D4 42 cents,edo_31_linear
F3,D4,81,307.67,F3=D4 81 cents,edo_31_linear
F3+,D4+,19,314.62,F3+=D4+ 19 cents,edo_31_linear
G3,D4+,58,321.74,G3=D4+ 58 cents,edo_31_linear
G3+,D4+,97,329.01,G3+=D4+ 97 cents,edo_31_linear
A3,E4,35,336.45,A3=E4 35 cents,edo_31_linear
A3+,E4,74,344.06,A3+=E4 74 cents,edo_31_linear
B3,F4,13,351.84,B3=F4 13 cents,edo_31_linear
C4,F4,52,359.80,C4=F4 52 cents,edo_31_linear
C4+,F4,90,367.93,C4+=F4 90 cents,edo_31_linear
D4,F4+,29,376.25,D4=F4+ 29 cents,edo_31_linear
D4+,F4+,68,384.76,D4+=F4+ 68 cents,edo_31_linear
E4,G4,06,393.46,E4=G4 06 cents,edo_31_linear
F4,G4,45,402.36,F4=G4 45 cents,edo_31_linear
F4+,G4,84,411.45,F4+=G4 84 cents,edo_31_linear
G4,G4+,23,420.76,G4=G4+ 23 cents,edo_31_linear
G4+,G4+,61,430.27,G4+=G4+ 61 cents,edo_31_linear
A4,A4,00,440.00,A4=A4 00 cents,edo_31_linear
A4+,A4,39,449.95,A4+=A4 39 cents,edo_31_linear
B4,A4,77,460.12,B4=A4 77 cents,edo_31_linear
C5,A4+,16,470.53,C5=A4+ 16 cents,edo_31_linear
C5+,A4+,55,481.17,C5+=A4+ 55 cents,edo_31_linear
D5,A4+,94,492.05,D5=A4+ 94 cents,edo_31_linear
D5+,B4,32,503.17,D5+=B4 32 cents,edo_31_linear
E5,B4,71,514.55,E5=B4 71 cents,edo_31_linear
F5,C5,10,526.18,F5=C5 10 cents,edo_31_linear
F5+,C5,48,538.08,F5+=C5 48 cents,edo_31_linear
G5,C5,87,550.25,G5=C5 87 cents,edo_31_linear
G5+,C5+,26,562.69,G5+=C5+ 26 cents,edo_31_linear
A5,C5+,65,575.41,A5=C5+ 65 cents,edo_31_linear
A5+,D5,03,588.42,A5+=D5 03 cents,edo_31_linear
B5,D5,42,601.73,B5=D5 42 cents,edo_31_linear
C6,D5,81,615.34,C6=D5 81 cents,edo_31_linear
C6+,D5+,19,629.25,C6+=D5+ 19 cents,edo_31_linear
D6,D5+,58,643.48,D6=D5+ 58 cents,edo_31_linear
D6+,D5+,97,658.03,D6+=D5+ 97 cents,edo_31_linear
E6,E5,35,672.91,E6=E5 35 cents,edo_31_linear
F6,E5,74,688.12,F6=E5 74 cents,edo_31_linear
F6+,F5,13,703.68,F6+=F5 13 cents,edo_31_linear
G6,F5,52,719.59,G6=F5 52 cents,edo_31_linear
G6+,F5,90,735.86,G6+=F5 90 cents,edo_31_linear
A6,F5+,29,752.50,A6=F5+ 29 cents,edo_31_linear
A6+,F5+,68,769.52,A6+=F5+ 68 cents,edo_31_linear
B6,G5,06,786.92,B6=G5 06 cents,edo_31_linear
C7,G5,45,804.71,C7=G5 45 cents,edo_31_linear
